{'moisture_value_1': 30900.0, 'moisture_value_2': 800.0, 'moisture_value_3': -800.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.2616, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M00S10'}
{'moisture_value_1': 31300.0, 'moisture_value_2': 800.0, 'moisture_value_3': -800.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.2616, 'temp_value_3': 63.6116, 'time': 'D05M06Y2021H00M00S14'}
{'moisture_value_1': 31500.0, 'moisture_value_2': 820.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.2616, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M00S46'}
{'moisture_value_1': 31400.0, 'moisture_value_2': 840.0, 'moisture_value_3': -766.6666666666666, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.15, 'temp_value_3': 63.6116, 'time': 'D05M06Y2021H00M01S19'}
{'moisture_value_1': 31300.0, 'moisture_value_2': 900.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.2616, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M01S51'}
{'moisture_value_1': 31300.0, 'moisture_value_2': 880.0, 'moisture_value_3': -600.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.2616, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M02S24'}
{'moisture_value_1': 31200.0, 'moisture_value_2': 860.0, 'moisture_value_3': -550.0, 'temp_value_1': 65.975, 'temp_value_2': 62.15, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M02S57'}
{'moisture_value_1': 31300.0, 'moisture_value_2': 860.0, 'moisture_value_3': -550.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.15, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M03S29'}
{'moisture_value_1': 31200.0, 'moisture_value_2': 860.0, 'moisture_value_3': -550.0, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.15, 'temp_value_3': 63.6116, 'time': 'D05M06Y2021H00M04S02'}
{'moisture_value_1': 31500.0, 'moisture_value_2': 840.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 65.975, 'temp_value_2': 62.03660000000001, 'temp_value_3': 63.6116, 'time': 'D05M06Y2021H00M04S35'}
{'moisture_value_1': 30900.0, 'moisture_value_2': 800.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 65.975, 'temp_value_2': 62.15, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M05S07'}
{'moisture_value_1': 30800.0, 'moisture_value_2': 800.0, 'moisture_value_3': -816.6666666666666, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.15, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M05S40'}
{'moisture_value_1': 31000.0, 'moisture_value_2': 800.0, 'moisture_value_3': -816.6666666666666, 'temp_value_1': 65.86160000000001, 'temp_value_2': 62.15, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M06S13'}
{'moisture_value_1': 31200.0, 'moisture_value_2': 780.0, 'moisture_value_3': -816.6666666666666, 'temp_value_1': 65.975, 'temp_value_2': 62.15, 'temp_value_3': 63.5, 'time': 'D05M06Y2021H00M06S45'}
