{'moisture_value_1': 34000.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -666.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M00S16'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1140.0, 'moisture_value_3': -666.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.95, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M00S20'}
{'moisture_value_1': 34500.0, 'moisture_value_2': 1140.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M00S53'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -666.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M01S25'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M01S58'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M02S31'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.425, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M03S03'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M03S36'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -500.0, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M04S09'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M04S41'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.425, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M05S14'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -650.0, 'temp_value_1': 57.5366, 'temp_value_2': 54.95, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M05S46'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1140.0, 'moisture_value_3': -650.0, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M06S19'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1140.0, 'moisture_value_3': -650.0, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M06S52'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1140.0, 'moisture_value_3': -650.0, 'temp_value_1': 57.425, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M07S24'}
{'moisture_value_1': 34600.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -633.3333333333333, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M07S57'}
{'moisture_value_1': 34600.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -633.3333333333333, 'temp_value_1': 57.5366, 'temp_value_2': 54.95, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M08S30'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M09S02'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M09S35'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -450.0, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M10S08'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.5366, 'temp_value_2': 54.725, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M10S40'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -433.33333333333326, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M11S13'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -433.33333333333326, 'temp_value_1': 57.425, 'temp_value_2': 54.8366, 'temp_value_3': 54.611599999999996, 'time': 'D10M06Y2021H00M11S45'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -433.33333333333326, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M12S18'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -450.0, 'temp_value_1': 57.5366, 'temp_value_2': 54.725, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M12S51'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -500.0, 'temp_value_1': 57.425, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M13S23'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -566.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.611599999999996, 'time': 'D10M06Y2021H00M13S56'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.725, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M14S29'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1140.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.725, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M15S01'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1120.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M15S34'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1120.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.5366, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M16S07'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 54.725, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M16S39'}
{'moisture_value_1': 34500.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 54.8366, 'temp_value_3': 54.611599999999996, 'time': 'D10M06Y2021H00M17S12'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -566.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 54.8366, 'temp_value_3': 54.725, 'time': 'D10M06Y2021H00M17S45'}
