{'moisture_value_1': 29100.0, 'moisture_value_2': 720.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M00S06'}
{'moisture_value_1': 29100.0, 'moisture_value_2': 720.0, 'moisture_value_3': -1183.3333333333335, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M00S10'}
{'moisture_value_1': 29200.0, 'moisture_value_2': 700.0, 'moisture_value_3': -1166.6666666666665, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M00S43'}
{'moisture_value_1': 29300.0, 'moisture_value_2': 660.0, 'moisture_value_3': -1150.0, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M01S15'}
{'moisture_value_1': 29700.0, 'moisture_value_2': 740.0, 'moisture_value_3': -983.3333333333335, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M01S48'}
{'moisture_value_1': 29800.0, 'moisture_value_2': 740.0, 'moisture_value_3': -1050.0, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M02S21'}
{'moisture_value_1': 29700.0, 'moisture_value_2': 800.0, 'moisture_value_3': -933.3333333333335, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M02S53'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 780.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M03S26'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 780.0, 'moisture_value_3': -666.6666666666667, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M03S58'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 760.0, 'moisture_value_3': -700.0, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M04S31'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 760.0, 'moisture_value_3': -716.6666666666666, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M05S04'}
{'moisture_value_1': 29500.0, 'moisture_value_2': 760.0, 'moisture_value_3': -750.0, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M05S36'}
{'moisture_value_1': 29400.0, 'moisture_value_2': 740.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M06S09'}
{'moisture_value_1': 29300.0, 'moisture_value_2': 720.0, 'moisture_value_3': -866.6666666666666, 'temp_value_1': 65.6366, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M06S42'}
{'moisture_value_1': 29300.0, 'moisture_value_2': 720.0, 'moisture_value_3': -1000.0, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M07S14'}
{'moisture_value_1': 29400.0, 'moisture_value_2': 740.0, 'moisture_value_3': -766.6666666666666, 'temp_value_1': 65.525, 'temp_value_2': 62.4866, 'temp_value_3': 63.95, 'time': 'D03M06Y2021H00M07S47'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 780.0, 'moisture_value_3': -833.3333333333334, 'temp_value_1': 65.525, 'temp_value_2': 62.6, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M08S20'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 780.0, 'moisture_value_3': -700.0, 'temp_value_1': 65.525, 'temp_value_2': 62.4866, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M08S52'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 760.0, 'moisture_value_3': -666.6666666666667, 'temp_value_1': 65.525, 'temp_value_2': 62.4866, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M09S25'}
{'moisture_value_1': 29600.0, 'moisture_value_2': 760.0, 'moisture_value_3': -700.0, 'temp_value_1': 65.525, 'temp_value_2': 62.4866, 'temp_value_3': 63.836600000000004, 'time': 'D03M06Y2021H00M09S58'}
