{'moisture_value_1': 33800.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -450.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M14S27'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -366.6666666666667, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M15S00'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -366.6666666666667, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M15S33'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M16S05'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M16S38'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M17S10'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M17S43'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -500.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M18S16'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -500.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M18S48'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M19S21'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M19S54'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M20S26'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M20S59'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M21S32'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M22S04'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M22S37'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M23S09'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M23S42'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M24S15'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M24S47'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M25S20'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M25S53'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -400.0, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M26S25'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M26S58'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M27S31'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M28S03'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M28S36'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M29S09'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M29S41'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -600.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M30S14'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -600.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M30S46'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -550.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M31S19'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M31S52'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -400.0, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M32S24'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M32S57'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M33S30'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M34S02'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M34S35'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -433.33333333333326, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M35S08'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M35S40'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -550.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M36S13'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M36S45'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M37S18'}
{'moisture_value_1': 33300.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 58.1, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M37S51'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1160.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M38S23'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.986599999999996, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M38S56'}
