{'moisture_value_1': 33800.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 60.236599999999996, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M00S18'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1320.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M00S22'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1320.0, 'moisture_value_3': -566.6666666666667, 'temp_value_1': 60.4616, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M00S55'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M01S27'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M02S00'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M02S33'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -550.0, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M03S05'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M03S38'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M04S10'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M04S43'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M05S16'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M05S48'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -700.0, 'temp_value_1': 60.4616, 'temp_value_2': 59.3366, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M06S21'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M06S54'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1320.0, 'moisture_value_3': -633.3333333333333, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M07S26'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1320.0, 'moisture_value_3': -550.0, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M07S59'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1320.0, 'moisture_value_3': -500.0, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M08S32'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1320.0, 'moisture_value_3': -500.0, 'temp_value_1': 60.4616, 'temp_value_2': 59.45, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M09S04'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -500.0, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M09S37'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -500.0, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M10S09'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -500.0, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M10S42'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M11S15'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 60.4616, 'temp_value_2': 59.3366, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M11S47'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -666.6666666666667, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M12S20'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -733.3333333333334, 'temp_value_1': 60.35, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M12S53'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -716.6666666666666, 'temp_value_1': 60.4616, 'temp_value_2': 59.45, 'temp_value_3': 56.075, 'time': 'D12M06Y2021H00M13S25'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -733.3333333333334, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M13S58'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -733.3333333333334, 'temp_value_1': 60.35, 'temp_value_2': 59.45, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M14S31'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -733.3333333333334, 'temp_value_1': 60.4616, 'temp_value_2': 59.3366, 'temp_value_3': 55.9616, 'time': 'D12M06Y2021H00M15S03'}
