{'moisture_value_1': 30700.0, 'moisture_value_2': 800.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 66.5366, 'temp_value_2': 63.16160000000001, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M00S09'}
{'moisture_value_1': 30600.0, 'moisture_value_2': 860.0, 'moisture_value_3': -750.0, 'temp_value_1': 66.5366, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M00S13'}
{'moisture_value_1': 30300.0, 'moisture_value_2': 820.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 66.65, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M00S45'}
{'moisture_value_1': 30400.0, 'moisture_value_2': 820.0, 'moisture_value_3': -600.0, 'temp_value_1': 66.65, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M01S18'}
{'moisture_value_1': 30300.0, 'moisture_value_2': 800.0, 'moisture_value_3': -600.0, 'temp_value_1': 66.5366, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M01S51'}
{'moisture_value_1': 30300.0, 'moisture_value_2': 800.0, 'moisture_value_3': -600.0, 'temp_value_1': 66.5366, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M02S23'}
{'moisture_value_1': 30100.0, 'moisture_value_2': 780.0, 'moisture_value_3': -666.6666666666667, 'temp_value_1': 66.65, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M02S56'}
{'moisture_value_1': 30200.0, 'moisture_value_2': 780.0, 'moisture_value_3': -716.6666666666666, 'temp_value_1': 66.65, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M03S29'}
{'moisture_value_1': 30300.0, 'moisture_value_2': 780.0, 'moisture_value_3': -766.6666666666666, 'temp_value_1': 66.5366, 'temp_value_2': 63.05, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M04S01'}
{'moisture_value_1': 30400.0, 'moisture_value_2': 760.0, 'moisture_value_3': -766.6666666666666, 'temp_value_1': 66.5366, 'temp_value_2': 63.05, 'temp_value_3': 64.175, 'time': 'D04M06Y2021H00M04S34'}
{'moisture_value_1': 30400.0, 'moisture_value_2': 740.0, 'moisture_value_3': -766.6666666666666, 'temp_value_1': 66.5366, 'temp_value_2': 62.936600000000006, 'temp_value_3': 64.0616, 'time': 'D04M06Y2021H00M05S07'}
