{'moisture_value_1': 34200.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -433.33333333333326, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M00S17'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M00S21'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M00S54'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M01S26'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M01S59'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M02S32'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M03S04'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M03S37'}
{'moisture_value_1': 34400.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -600.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M04S10'}
{'moisture_value_1': 34500.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.0616, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M04S42'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M05S15'}
{'moisture_value_1': 34300.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -450.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M05S48'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M06S20'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M06S53'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1300.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M07S25'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M07S58'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.0616, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M08S31'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 57.425, 'temp_value_2': 55.0616, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M09S03'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M09S36'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M10S09'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 55.2866, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M10S41'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M11S14'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M11S47'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -633.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M12S19'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M12S52'}
{'moisture_value_1': 34200.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -583.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M13S25'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M13S57'}
{'moisture_value_1': 34100.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -450.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M14S30'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M15S02'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.425, 'temp_value_2': 55.0616, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M15S35'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M16S08'}
{'moisture_value_1': 34000.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M16S40'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -400.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M17S13'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -450.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.275, 'time': 'D11M06Y2021H00M17S46'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.0616, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M18S18'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -633.3333333333333, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M18S51'}
{'moisture_value_1': 33600.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -650.0, 'temp_value_1': 57.425, 'temp_value_2': 55.175, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M19S24'}
{'moisture_value_1': 33800.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -650.0, 'temp_value_1': 57.425, 'temp_value_2': 55.0616, 'temp_value_3': 54.3866, 'time': 'D11M06Y2021H00M19S56'}
