{'moisture_value_1': 11000.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M00S02'}
{'moisture_value_1': 10800.0, 'moisture_value_2': 360.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M00S06'}
{'moisture_value_1': 10900.0, 'moisture_value_2': 360.0, 'moisture_value_3': -1150.0, 'temp_value_1': 63.05, 'temp_value_2': 59.45, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M00S38'}
{'moisture_value_1': 10900.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1200.0, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M01S11'}
{'moisture_value_1': 10800.0, 'moisture_value_2': 320.0, 'moisture_value_3': -1216.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.45, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M01S43'}
{'moisture_value_1': 10900.0, 'moisture_value_2': 320.0, 'moisture_value_3': -1316.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M02S16'}
{'moisture_value_1': 10900.0, 'moisture_value_2': 320.0, 'moisture_value_3': -1316.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M02S49'}
{'moisture_value_1': 11000.0, 'moisture_value_2': 320.0, 'moisture_value_3': -1316.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M03S21'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1300.0, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M03S54'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1300.0, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M04S27'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 400.0, 'moisture_value_3': -1283.3333333333335, 'temp_value_1': 63.05, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M04S59'}
{'moisture_value_1': 13900.0, 'moisture_value_2': 420.0, 'moisture_value_3': -1216.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M05S32'}
{'moisture_value_1': 16400.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1150.0, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M06S05'}
{'moisture_value_1': 16500.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1100.0, 'temp_value_1': 63.05, 'temp_value_2': 59.225, 'temp_value_3': 60.0116, 'time': 'D29M05Y2021H00M06S37'}
{'moisture_value_1': 14900.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M07S10'}
{'moisture_value_1': 15600.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.0116, 'time': 'D29M05Y2021H00M07S43'}
{'moisture_value_1': 14400.0, 'moisture_value_2': 360.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M08S15'}
{'moisture_value_1': 15400.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1133.3333333333335, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M08S48'}
{'moisture_value_1': 15600.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1166.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.3366, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M09S20'}
{'moisture_value_1': 15700.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1233.3333333333335, 'temp_value_1': 63.05, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M09S53'}
{'moisture_value_1': 15700.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1300.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M10S26'}
{'moisture_value_1': 15700.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1316.6666666666665, 'temp_value_1': 63.05, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M10S58'}
{'moisture_value_1': 15800.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1300.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M11S31'}
{'moisture_value_1': 15800.0, 'moisture_value_2': 320.0, 'moisture_value_3': -1300.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M12S04'}
{'moisture_value_1': 16100.0, 'moisture_value_2': 320.0, 'moisture_value_3': -1300.0, 'temp_value_1': 63.05, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M12S36'}
{'moisture_value_1': 16000.0, 'moisture_value_2': 360.0, 'moisture_value_3': -1283.3333333333335, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M13S09'}
{'moisture_value_1': 14600.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1250.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M13S42'}
{'moisture_value_1': 14400.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1183.3333333333335, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M14S14'}
{'moisture_value_1': 15000.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M14S47'}
{'moisture_value_1': 14000.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M15S19'}
{'moisture_value_1': 14300.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M15S52'}
{'moisture_value_1': 14600.0, 'moisture_value_2': 380.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M16S25'}
{'moisture_value_1': 14900.0, 'moisture_value_2': 360.0, 'moisture_value_3': -1116.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M16S57'}
{'moisture_value_1': 14900.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1133.3333333333335, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M17S30'}
{'moisture_value_1': 15000.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1200.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M18S03'}
{'moisture_value_1': 15100.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1266.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M18S35'}
{'moisture_value_1': 14800.0, 'moisture_value_2': 340.0, 'moisture_value_3': -1316.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.225, 'temp_value_3': 60.0116, 'time': 'D29M05Y2021H00M19S08'}
{'moisture_value_1': 14600.0, 'moisture_value_2': 300.0, 'moisture_value_3': -1316.6666666666665, 'temp_value_1': 62.825, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M19S41'}
{'moisture_value_1': 15300.0, 'moisture_value_2': 300.0, 'moisture_value_3': -1300.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.0, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M20S13'}
{'moisture_value_1': 14800.0, 'moisture_value_2': 320.0, 'moisture_value_3': -1300.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.111599999999996, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M20S46'}
{'moisture_value_1': 14500.0, 'moisture_value_2': 360.0, 'moisture_value_3': -1266.6666666666665, 'temp_value_1': 62.936600000000006, 'temp_value_2': 59.0, 'temp_value_3': 60.125, 'time': 'D29M05Y2021H00M21S19'}
