{'moisture_value_1': 29600.0, 'moisture_value_2': 720.0, 'moisture_value_3': -916.6666666666666, 'temp_value_1': 68.0, 'temp_value_2': 64.2866, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M00S06'}
{'moisture_value_1': 29900.0, 'moisture_value_2': 680.0, 'moisture_value_3': -900.0, 'temp_value_1': 68.0, 'temp_value_2': 64.2866, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M00S10'}
{'moisture_value_1': 30000.0, 'moisture_value_2': 720.0, 'moisture_value_3': -916.6666666666666, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M00S43'}
{'moisture_value_1': 30200.0, 'moisture_value_2': 700.0, 'moisture_value_3': -916.6666666666666, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M01S15'}
{'moisture_value_1': 30300.0, 'moisture_value_2': 740.0, 'moisture_value_3': -900.0, 'temp_value_1': 68.0, 'temp_value_2': 64.2866, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M01S48'}
{'moisture_value_1': 30300.0, 'moisture_value_2': 760.0, 'moisture_value_3': -866.6666666666666, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M02S20'}
{'moisture_value_1': 30200.0, 'moisture_value_2': 800.0, 'moisture_value_3': -783.3333333333334, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M02S53'}
{'moisture_value_1': 30200.0, 'moisture_value_2': 780.0, 'moisture_value_3': -700.0, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M03S26'}
{'moisture_value_1': 30200.0, 'moisture_value_2': 760.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M03S58'}
{'moisture_value_1': 30100.0, 'moisture_value_2': 760.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M04S31'}
{'moisture_value_1': 30100.0, 'moisture_value_2': 760.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 68.0, 'temp_value_2': 64.2866, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M05S04'}
{'moisture_value_1': 30100.0, 'moisture_value_2': 760.0, 'moisture_value_3': -683.3333333333333, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M05S36'}
{'moisture_value_1': 30000.0, 'moisture_value_2': 760.0, 'moisture_value_3': -700.0, 'temp_value_1': 68.0, 'temp_value_2': 64.4, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M06S09'}
{'moisture_value_1': 29900.0, 'moisture_value_2': 720.0, 'moisture_value_3': -750.0, 'temp_value_1': 68.0, 'temp_value_2': 64.2866, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M06S42'}
{'moisture_value_1': 29900.0, 'moisture_value_2': 720.0, 'moisture_value_3': -833.3333333333334, 'temp_value_1': 68.0, 'temp_value_2': 64.2866, 'temp_value_3': 65.4116, 'time': 'D02M06Y2021H00M07S14'}
