{'moisture_value_1': 4800.0, 'moisture_value_2': 80.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M00S00'}
{'moisture_value_1': 4800.0, 'moisture_value_2': 160.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.6866, 'temp_value_3': 59.111599999999996, 'time': 'D28M05Y2021H00M00S04'}
{'moisture_value_1': 4800.0, 'moisture_value_2': 180.0, 'moisture_value_3': -383.3333333333333, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.111599999999996, 'time': 'D28M05Y2021H00M00S37'}
{'moisture_value_1': 4800.0, 'moisture_value_2': 160.0, 'moisture_value_3': -300.0, 'temp_value_1': 62.6, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M01S09'}
{'moisture_value_1': 4700.0, 'moisture_value_2': 140.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 62.6, 'temp_value_2': 60.6866, 'temp_value_3': 59.111599999999996, 'time': 'D28M05Y2021H00M01S42'}
{'moisture_value_1': 4600.0, 'moisture_value_2': 140.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M02S15'}
{'moisture_value_1': 4600.0, 'moisture_value_2': 140.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 62.6, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M02S47'}
{'moisture_value_1': 4400.0, 'moisture_value_2': 120.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 62.6, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M03S20'}
{'moisture_value_1': 4500.0, 'moisture_value_2': 100.0, 'moisture_value_3': -300.0, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M03S53'}
{'moisture_value_1': 4300.0, 'moisture_value_2': 100.0, 'moisture_value_3': -350.0, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M04S25'}
{'moisture_value_1': 4300.0, 'moisture_value_2': 100.0, 'moisture_value_3': -416.66666666666674, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M04S58'}
{'moisture_value_1': 4300.0, 'moisture_value_2': 80.0, 'moisture_value_3': -483.33333333333326, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M05S30'}
{'moisture_value_1': 4300.0, 'moisture_value_2': 80.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M06S03'}
{'moisture_value_1': 4500.0, 'moisture_value_2': 80.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M06S36'}
{'moisture_value_1': 4600.0, 'moisture_value_2': 80.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M07S08'}
{'moisture_value_1': 4700.0, 'moisture_value_2': 100.0, 'moisture_value_3': -500.0, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M07S41'}
{'moisture_value_1': 4700.0, 'moisture_value_2': 120.0, 'moisture_value_3': -500.0, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.111599999999996, 'time': 'D28M05Y2021H00M08S14'}
{'moisture_value_1': 4700.0, 'moisture_value_2': 160.0, 'moisture_value_3': -433.33333333333326, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.111599999999996, 'time': 'D28M05Y2021H00M08S46'}
{'moisture_value_1': 4800.0, 'moisture_value_2': 160.0, 'moisture_value_3': -350.0, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M09S19'}
{'moisture_value_1': 4800.0, 'moisture_value_2': 140.0, 'moisture_value_3': -266.66666666666663, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M09S52'}
{'moisture_value_1': 4700.0, 'moisture_value_2': 140.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M10S24'}
{'moisture_value_1': 4600.0, 'moisture_value_2': 140.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M10S57'}
{'moisture_value_1': 4600.0, 'moisture_value_2': 140.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M11S29'}
{'moisture_value_1': 4400.0, 'moisture_value_2': 100.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M12S02'}
{'moisture_value_1': 5300.0, 'moisture_value_2': 100.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M12S35'}
{'moisture_value_1': 4900.0, 'moisture_value_2': 80.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.6866, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M13S07'}
{'moisture_value_1': 5200.0, 'moisture_value_2': 80.0, 'moisture_value_3': -516.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M13S40'}
{'moisture_value_1': 6200.0, 'moisture_value_2': 120.0, 'moisture_value_3': -450.0, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M14S13'}
{'moisture_value_1': 5000.0, 'moisture_value_2': 140.0, 'moisture_value_3': -500.0, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M14S45'}
{'moisture_value_1': 5000.0, 'moisture_value_2': 140.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M15S18'}
{'moisture_value_1': 5000.0, 'moisture_value_2': 160.0, 'moisture_value_3': -400.0, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M15S51'}
{'moisture_value_1': 5000.0, 'moisture_value_2': 160.0, 'moisture_value_3': -333.3333333333333, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M16S23'}
{'moisture_value_1': 5000.0, 'moisture_value_2': 160.0, 'moisture_value_3': -316.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M16S56'}
{'moisture_value_1': 5300.0, 'moisture_value_2': 140.0, 'moisture_value_3': -316.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M17S29'}
{'moisture_value_1': 5300.0, 'moisture_value_2': 140.0, 'moisture_value_3': -316.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.111599999999996, 'time': 'D28M05Y2021H00M18S01'}
{'moisture_value_1': 10100.0, 'moisture_value_2': 140.0, 'moisture_value_3': -316.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M18S34'}
{'moisture_value_1': 11400.0, 'moisture_value_2': 120.0, 'moisture_value_3': -316.6666666666667, 'temp_value_1': 62.6, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D28M05Y2021H00M19S07'}
