{'moisture_value_1': 200.0, 'moisture_value_2': 40.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 64.175, 'temp_value_2': 61.25, 'temp_value_3': 59.675, 'time': 'D27M05Y2021H13M32S13'}
{'moisture_value_1': 300.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 63.836600000000004, 'temp_value_2': 61.025, 'temp_value_3': 59.5616, 'time': 'D27M05Y2021H13M32S16'}
{'moisture_value_1': 200.0, 'moisture_value_2': 0.0, 'moisture_value_3': 100.0, 'temp_value_1': 63.6116, 'temp_value_2': 60.91160000000001, 'temp_value_3': 59.45, 'time': 'D27M05Y2021H13M32S48'}
{'moisture_value_1': 300.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 63.275, 'temp_value_2': 60.6866, 'temp_value_3': 59.3366, 'time': 'D27M05Y2021H13M33S21'}
{'moisture_value_1': 300.0, 'moisture_value_2': 60.0, 'moisture_value_3': 100.0, 'temp_value_1': 63.16160000000001, 'temp_value_2': 60.575, 'temp_value_3': 59.225, 'time': 'D27M05Y2021H13M33S53'}
{'moisture_value_1': 400.0, 'moisture_value_2': 60.0, 'moisture_value_3': 100.0, 'temp_value_1': 62.936600000000006, 'temp_value_2': 60.4616, 'temp_value_3': 59.225, 'time': 'D27M05Y2021H13M34S26'}
{'moisture_value_1': 500.0, 'moisture_value_2': 60.0, 'moisture_value_3': 100.0, 'temp_value_1': 62.711600000000004, 'temp_value_2': 60.35, 'temp_value_3': 59.0, 'time': 'D27M05Y2021H13M34S59'}
{'moisture_value_1': 500.0, 'moisture_value_2': 40.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 62.4866, 'temp_value_2': 60.236599999999996, 'temp_value_3': 59.0, 'time': 'D27M05Y2021H13M35S31'}
{'moisture_value_1': 500.0, 'moisture_value_2': 40.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 62.2616, 'temp_value_2': 60.125, 'temp_value_3': 59.0, 'time': 'D27M05Y2021H13M36S04'}
{'moisture_value_1': 600.0, 'moisture_value_2': 20.0, 'moisture_value_3': 0.0, 'temp_value_1': 62.15, 'temp_value_2': 60.125, 'temp_value_3': 59.0, 'time': 'D27M05Y2021H13M36S37'}
{'moisture_value_1': 600.0, 'moisture_value_2': -20.0, 'moisture_value_3': 0.0, 'temp_value_1': 62.03660000000001, 'temp_value_2': 59.9, 'temp_value_3': 58.8866, 'time': 'D27M05Y2021H13M37S09'}
{'moisture_value_1': 700.0, 'moisture_value_2': -20.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 61.925, 'temp_value_2': 59.9, 'temp_value_3': 58.8866, 'time': 'D27M05Y2021H13M37S42'}
{'moisture_value_1': 700.0, 'moisture_value_2': -20.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 61.7, 'temp_value_2': 59.9, 'temp_value_3': 58.775, 'time': 'D27M05Y2021H13M38S15'}
{'moisture_value_1': 700.0, 'moisture_value_2': 0.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 61.586600000000004, 'temp_value_2': 59.7866, 'temp_value_3': 58.775, 'time': 'D27M05Y2021H13M38S47'}
{'moisture_value_1': 800.0, 'moisture_value_2': 80.0, 'moisture_value_3': 83.33333333333334, 'temp_value_1': 61.586600000000004, 'temp_value_2': 59.675, 'temp_value_3': 58.775, 'time': 'D27M05Y2021H13M39S20'}
{'moisture_value_1': 700.0, 'moisture_value_2': 80.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 61.475, 'temp_value_2': 59.675, 'temp_value_3': 58.6616, 'time': 'D27M05Y2021H13M39S53'}
{'moisture_value_1': 900.0, 'moisture_value_2': 120.0, 'moisture_value_3': 83.33333333333334, 'temp_value_1': 61.3616, 'temp_value_2': 59.675, 'temp_value_3': 58.6616, 'time': 'D27M05Y2021H13M40S25'}
{'moisture_value_1': 900.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 61.3616, 'temp_value_2': 59.5616, 'temp_value_3': 58.6616, 'time': 'D27M05Y2021H13M40S58'}
{'moisture_value_1': 900.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 61.25, 'temp_value_2': 59.675, 'temp_value_3': 58.6616, 'time': 'D27M05Y2021H13M41S30'}
{'moisture_value_1': 900.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 61.1366, 'temp_value_2': 59.5616, 'temp_value_3': 58.6616, 'time': 'D27M05Y2021H13M42S03'}
{'moisture_value_1': 900.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 61.1366, 'temp_value_2': 59.675, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M42S36'}
{'moisture_value_1': 1000.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 61.025, 'temp_value_2': 59.5616, 'temp_value_3': 58.6616, 'time': 'D27M05Y2021H13M43S08'}
{'moisture_value_1': 1000.0, 'moisture_value_2': 80.0, 'moisture_value_3': 83.33333333333334, 'temp_value_1': 61.025, 'temp_value_2': 59.45, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M43S41'}
{'moisture_value_1': 1000.0, 'moisture_value_2': 80.0, 'moisture_value_3': 50.0, 'temp_value_1': 61.025, 'temp_value_2': 59.5616, 'temp_value_3': 58.6616, 'time': 'D27M05Y2021H13M44S14'}
{'moisture_value_1': 1000.0, 'moisture_value_2': 80.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.91160000000001, 'temp_value_2': 59.5616, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M44S46'}
{'moisture_value_1': 1100.0, 'moisture_value_2': 60.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.91160000000001, 'temp_value_2': 59.5616, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M45S19'}
{'moisture_value_1': 1100.0, 'moisture_value_2': 60.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.8, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M45S52'}
{'moisture_value_1': 1200.0, 'moisture_value_2': 60.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.8, 'temp_value_2': 59.45, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M46S24'}
{'moisture_value_1': 1200.0, 'moisture_value_2': 80.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.8, 'temp_value_2': 59.5616, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M46S57'}
{'moisture_value_1': 1200.0, 'moisture_value_2': 100.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.8, 'temp_value_2': 59.45, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M47S29'}
{'moisture_value_1': 1200.0, 'moisture_value_2': 120.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 60.6866, 'temp_value_2': 59.45, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M48S02'}
{'moisture_value_1': 1300.0, 'moisture_value_2': 100.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 60.6866, 'temp_value_2': 59.45, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M48S35'}
{'moisture_value_1': 1300.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.6866, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M49S07'}
{'moisture_value_1': 1300.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.6866, 'temp_value_2': 59.5616, 'temp_value_3': 58.55, 'time': 'D27M05Y2021H13M49S40'}
{'moisture_value_1': 1300.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.575, 'temp_value_2': 59.45, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M50S13'}
{'moisture_value_1': 1300.0, 'moisture_value_2': 100.0, 'moisture_value_3': 116.66666666666666, 'temp_value_1': 60.6866, 'temp_value_2': 59.45, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M50S45'}
{'moisture_value_1': 1300.0, 'moisture_value_2': 100.0, 'moisture_value_3': 116.66666666666666, 'temp_value_1': 60.575, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M51S18'}
{'moisture_value_1': 1400.0, 'moisture_value_2': 80.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.6866, 'temp_value_2': 59.45, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M51S51'}
{'moisture_value_1': 1300.0, 'moisture_value_2': 80.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 60.575, 'temp_value_2': 59.45, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M52S23'}
{'moisture_value_1': 1400.0, 'moisture_value_2': 80.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 60.575, 'temp_value_2': 59.45, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M52S56'}
{'moisture_value_1': 1400.0, 'moisture_value_2': 80.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.575, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M53S29'}
{'moisture_value_1': 1500.0, 'moisture_value_2': 60.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.575, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M54S01'}
{'moisture_value_1': 1500.0, 'moisture_value_2': 60.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.575, 'temp_value_2': 59.5616, 'temp_value_3': 58.325, 'time': 'D27M05Y2021H13M54S34'}
{'moisture_value_1': 1400.0, 'moisture_value_2': 80.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.575, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M55S06'}
{'moisture_value_1': 1500.0, 'moisture_value_2': 100.0, 'moisture_value_3': 0.0, 'temp_value_1': 60.575, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M55S39'}
{'moisture_value_1': 1600.0, 'moisture_value_2': 120.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 60.4616, 'temp_value_2': 59.5616, 'temp_value_3': 58.325, 'time': 'D27M05Y2021H13M56S12'}
{'moisture_value_1': 1600.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.4616, 'temp_value_2': 59.5616, 'temp_value_3': 58.325, 'time': 'D27M05Y2021H13M56S44'}
{'moisture_value_1': 1600.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.4616, 'temp_value_2': 59.675, 'temp_value_3': 58.325, 'time': 'D27M05Y2021H13M57S17'}
{'moisture_value_1': 1500.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.575, 'temp_value_2': 59.5616, 'temp_value_3': 58.325, 'time': 'D27M05Y2021H13M57S50'}
{'moisture_value_1': 1500.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.4616, 'temp_value_2': 59.675, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M58S22'}
{'moisture_value_1': 1500.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.4616, 'temp_value_2': 59.5616, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M58S55'}
{'moisture_value_1': 1600.0, 'moisture_value_2': 100.0, 'moisture_value_3': 100.0, 'temp_value_1': 60.4616, 'temp_value_2': 59.675, 'temp_value_3': 58.4366, 'time': 'D27M05Y2021H13M59S28'}
