{'moisture_value_1': 13400.0, 'moisture_value_2': 121.05263157894737, 'moisture_value_3': 25.0, 'temp_value_1': 66.7616, 'temp_value_2': 65.4116, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M13S16'}
{'moisture_value_1': 13300.0, 'moisture_value_2': 178.94736842105263, 'moisture_value_3': 12.5, 'temp_value_1': 66.65, 'temp_value_2': 65.4116, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M13S49'}
{'moisture_value_1': 13100.0, 'moisture_value_2': 115.78947368421052, 'moisture_value_3': 12.5, 'temp_value_1': 66.7616, 'temp_value_2': 65.3, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M14S21'}
{'moisture_value_1': 13000.0, 'moisture_value_2': 110.52631578947368, 'moisture_value_3': 12.5, 'temp_value_1': 66.65, 'temp_value_2': 65.3, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M14S54'}
{'moisture_value_1': 12900.0, 'moisture_value_2': 178.94736842105263, 'moisture_value_3': 0.0, 'temp_value_1': 66.65, 'temp_value_2': 65.3, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M15S27'}
{'moisture_value_1': 12900.0, 'moisture_value_2': 173.68421052631578, 'moisture_value_3': 0.0, 'temp_value_1': 66.65, 'temp_value_2': 65.3, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M15S59'}
{'moisture_value_1': 12800.0, 'moisture_value_2': 163.1578947368421, 'moisture_value_3': 0.0, 'temp_value_1': 66.65, 'temp_value_2': 65.1866, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M16S32'}
{'moisture_value_1': 12700.0, 'moisture_value_2': 157.89473684210526, 'moisture_value_3': 0.0, 'temp_value_1': 66.65, 'temp_value_2': 65.1866, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M17S05'}
{'moisture_value_1': 12700.0, 'moisture_value_2': 126.3157894736842, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 65.1866, 'temp_value_3': 65.1866, 'time': 'D25M10Y2021H15M17S37'}
{'moisture_value_1': 12600.0, 'moisture_value_2': 84.21052631578948, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 65.075, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H15M18S10'}
{'moisture_value_1': 12600.0, 'moisture_value_2': 57.89473684210527, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 65.075, 'temp_value_3': 65.075, 'time': 'D25M10Y2021H15M18S43'}
{'moisture_value_1': 12600.0, 'moisture_value_2': 110.52631578947368, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 65.075, 'temp_value_3': 65.075, 'time': 'D25M10Y2021H15M19S15'}
{'moisture_value_1': 12400.0, 'moisture_value_2': 131.57894736842104, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 65.075, 'temp_value_3': 65.075, 'time': 'D25M10Y2021H15M19S48'}
{'moisture_value_1': 12400.0, 'moisture_value_2': 73.6842105263158, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 65.075, 'temp_value_3': 65.1866, 'time': 'D25M10Y2021H15M20S20'}
{'moisture_value_1': 12300.0, 'moisture_value_2': 84.21052631578948, 'moisture_value_3': 12.5, 'temp_value_1': 66.5366, 'temp_value_2': 64.9616, 'temp_value_3': 65.1866, 'time': 'D25M10Y2021H15M20S53'}
{'moisture_value_1': 12300.0, 'moisture_value_2': 63.15789473684211, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 64.9616, 'temp_value_3': 65.075, 'time': 'D25M10Y2021H15M21S26'}
{'moisture_value_1': 12200.0, 'moisture_value_2': 36.8421052631579, 'moisture_value_3': 12.5, 'temp_value_1': 66.5366, 'temp_value_2': 64.9616, 'temp_value_3': 65.075, 'time': 'D25M10Y2021H15M21S58'}
{'moisture_value_1': 12200.0, 'moisture_value_2': 126.3157894736842, 'moisture_value_3': 0.0, 'temp_value_1': 66.5366, 'temp_value_2': 64.9616, 'temp_value_3': 65.075, 'time': 'D25M10Y2021H15M22S31'}
{'moisture_value_1': 12200.0, 'moisture_value_2': 63.15789473684211, 'moisture_value_3': 12.5, 'temp_value_1': 66.5366, 'temp_value_2': 64.85, 'temp_value_3': 65.075, 'time': 'D25M10Y2021H15M23S04'}
{'moisture_value_1': 12100.0, 'moisture_value_2': 31.578947368421055, 'moisture_value_3': 12.5, 'temp_value_1': 66.5366, 'temp_value_2': 64.9616, 'temp_value_3': 64.9616, 'time': 'D25M10Y2021H15M23S36'}
