{'moisture_value_1': 32000.0, 'moisture_value_2': 919.9999999999999, 'moisture_value_3': -883.3333333333334, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.9, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M00S11'}
{'moisture_value_1': 32200.0, 'moisture_value_2': 960.0, 'moisture_value_3': -883.3333333333334, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.9, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M00S15'}
{'moisture_value_1': 32200.0, 'moisture_value_2': 1019.9999999999999, 'moisture_value_3': -833.3333333333334, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.9, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M00S47'}
{'moisture_value_1': 32100.0, 'moisture_value_2': 1000.0, 'moisture_value_3': -716.6666666666666, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M01S20'}
{'moisture_value_1': 32100.0, 'moisture_value_2': 1000.0, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M01S53'}
{'moisture_value_1': 32100.0, 'moisture_value_2': 1000.0, 'moisture_value_3': -600.0, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.9, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M02S25'}
{'moisture_value_1': 31900.0, 'moisture_value_2': 980.0000000000001, 'moisture_value_3': -600.0, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M02S58'}
{'moisture_value_1': 31900.0, 'moisture_value_2': 980.0000000000001, 'moisture_value_3': -600.0, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M03S30'}
{'moisture_value_1': 31900.0, 'moisture_value_2': 980.0000000000001, 'moisture_value_3': -600.0, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M04S03'}
{'moisture_value_1': 31800.0, 'moisture_value_2': 1000.0, 'moisture_value_3': -633.3333333333333, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M04S36'}
{'moisture_value_1': 31700.0, 'moisture_value_2': 960.0, 'moisture_value_3': -716.6666666666666, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.03660000000001, 'time': 'D06M06Y2021H00M05S08'}
{'moisture_value_1': 31600.0, 'moisture_value_2': 940.0, 'moisture_value_3': -816.6666666666666, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.03660000000001, 'time': 'D06M06Y2021H00M05S41'}
{'moisture_value_1': 31600.0, 'moisture_value_2': 940.0, 'moisture_value_3': -866.6666666666666, 'temp_value_1': 64.73660000000001, 'temp_value_2': 59.7866, 'temp_value_3': 62.03660000000001, 'time': 'D06M06Y2021H00M06S14'}
{'moisture_value_1': 31600.0, 'moisture_value_2': 919.9999999999999, 'moisture_value_3': -866.6666666666666, 'temp_value_1': 64.625, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M06S46'}
{'moisture_value_1': 31800.0, 'moisture_value_2': 919.9999999999999, 'moisture_value_3': -883.3333333333334, 'temp_value_1': 64.625, 'temp_value_2': 59.675, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M07S19'}
{'moisture_value_1': 32100.0, 'moisture_value_2': 919.9999999999999, 'moisture_value_3': -883.3333333333334, 'temp_value_1': 64.625, 'temp_value_2': 59.7866, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M07S52'}
{'moisture_value_1': 32100.0, 'moisture_value_2': 960.0, 'moisture_value_3': -883.3333333333334, 'temp_value_1': 64.625, 'temp_value_2': 59.675, 'temp_value_3': 62.03660000000001, 'time': 'D06M06Y2021H00M08S24'}
{'moisture_value_1': 32100.0, 'moisture_value_2': 1019.9999999999999, 'moisture_value_3': -833.3333333333334, 'temp_value_1': 64.625, 'temp_value_2': 59.675, 'temp_value_3': 62.03660000000001, 'time': 'D06M06Y2021H00M08S57'}
{'moisture_value_1': 32000.0, 'moisture_value_2': 1000.0, 'moisture_value_3': -733.3333333333334, 'temp_value_1': 64.625, 'temp_value_2': 59.675, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M09S29'}
{'moisture_value_1': 32000.0, 'moisture_value_2': 1019.9999999999999, 'moisture_value_3': -633.3333333333333, 'temp_value_1': 64.625, 'temp_value_2': 59.675, 'temp_value_3': 62.03660000000001, 'time': 'D06M06Y2021H00M10S02'}
{'moisture_value_1': 31900.0, 'moisture_value_2': 980.0000000000001, 'moisture_value_3': -616.6666666666667, 'temp_value_1': 64.625, 'temp_value_2': 59.675, 'temp_value_3': 62.15, 'time': 'D06M06Y2021H00M10S35'}
